date,mortality,pm10,season
1992-01-01,229,32.2488331529,winter
1992-01-02,263,NA,winter
1992-01-03,253,NA,winter
1992-01-04,232,NA,winter
1992-01-05,238,NA,winter
1992-01-06,182,NA,winter
1992-01-07,241,16.484284922,winter
1992-01-08,208,NA,winter
1992-01-09,234,NA,winter
1992-01-10,257,NA,winter
1992-01-11,205,NA,winter
1992-01-12,220,NA,winter
1992-01-13,233,34.382542916,winter
1992-01-14,239,NA,winter
1992-01-15,208,NA,winter
1992-01-16,222,NA,winter
1992-01-17,233,NA,winter
1992-01-18,227,NA,winter
1992-01-19,218,15.942711783000002,winter
1992-01-20,231,NA,winter
1992-01-21,220,NA,winter
1992-01-22,219,NA,winter
1992-01-23,255,NA,winter
1992-01-24,236,NA,winter
1992-01-25,203,17.555932684000002,winter
1992-01-26,202,NA,winter
1992-01-27,230,NA,winter
1992-01-28,208,NA,winter
1992-01-29,191,NA,winter
1992-01-30,193,NA,winter
1992-01-31,214,36.670428818299996,winter
1992-02-01,207,NA,winter
1992-02-02,190,NA,winter
1992-02-03,210,NA,winter
1992-02-04,204,NA,winter
1992-02-05,223,NA,winter
1992-02-06,197,24.147772495999998,winter
1992-02-07,209,NA,winter
1992-02-08,197,NA,winter
1992-02-09,187,NA,winter
1992-02-10,211,NA,winter
1992-02-11,208,NA,winter
1992-02-12,184,18.139088667,winter
1992-02-13,212,NA,winter
1992-02-14,198,NA,winter
1992-02-15,210,NA,winter
1992-02-16,205,NA,winter
1992-02-17,193,NA,winter
1992-02-18,185,29.708107986199998,winter
1992-02-19,204,NA,winter
1992-02-20,193,NA,winter
1992-02-21,178,NA,winter
1992-02-22,208,NA,winter
1992-02-23,181,NA,winter
1992-02-24,184,26.515489196,winter
1992-02-25,187,NA,winter
1992-02-26,191,NA,winter
1992-02-27,175,NA,winter
1992-02-28,214,NA,winter
1992-02-29,194,NA,winter
1992-03-01,195,19.554103186,winter
1992-03-02,212,NA,winter
1992-03-03,185,NA,winter
1992-03-04,205,NA,winter
1992-03-05,189,NA,winter
1992-03-06,190,NA,winter
1992-03-07,183,26.899991115000002,winter
1992-03-08,171,NA,winter
1992-03-09,197,NA,winter
1992-03-10,194,NA,winter
1992-03-11,229,NA,winter
1992-03-12,214,NA,winter
1992-03-13,174,17.179681043,winter
1992-03-14,201,NA,winter
1992-03-15,155,NA,winter
1992-03-16,218,NA,winter
1992-03-17,213,NA,winter
1992-03-18,220,NA,winter
1992-03-19,177,20.587663592,winter
1992-03-20,203,NA,winter
1992-03-21,176,NA,winter
1992-03-22,174,NA,winter
1992-03-23,178,NA,winter
1992-03-24,204,NA,winter
1992-03-25,158,34.989467620599996,winter
1992-03-26,206,NA,winter
1992-03-27,187,NA,winter
1992-03-28,186,NA,winter
1992-03-29,194,NA,winter
1992-03-30,169,NA,winter
1992-03-31,178,22.856794934,winter
1992-04-01,216,NA,spring
1992-04-02,192,NA,spring
1992-04-03,191,NA,spring
1992-04-04,197,NA,spring
1992-04-05,156,NA,spring
1992-04-06,177,16.946471514000002,spring
1992-04-07,191,NA,spring
1992-04-08,210,NA,spring
1992-04-09,170,NA,spring
1992-04-10,191,NA,spring
1992-04-11,179,NA,spring
1992-04-12,204,20.002098998,spring
1992-04-13,209,NA,spring
1992-04-14,168,NA,spring
1992-04-15,193,NA,spring
1992-04-16,181,NA,spring
1992-04-17,210,NA,spring
1992-04-18,190,19.429022557,spring
1992-04-19,180,NA,spring
1992-04-20,200,NA,spring
1992-04-21,193,NA,spring
1992-04-22,179,NA,spring
1992-04-23,186,NA,spring
1992-04-24,199,35.4344850598,spring
1992-04-25,189,NA,spring
1992-04-26,157,NA,spring
1992-04-27,189,NA,spring
1992-04-28,161,NA,spring
1992-04-29,173,NA,spring
1992-04-30,183,23.331716292000003,spring
1992-05-01,184,NA,spring
1992-05-02,211,NA,spring
1992-05-03,213,NA,spring
1992-05-04,181,NA,spring
1992-05-05,202,NA,spring
1992-05-06,180,20.382188976000002,spring
1992-05-07,176,NA,spring
1992-05-08,200,NA,spring
1992-05-09,200,NA,spring
1992-05-10,178,NA,spring
1992-05-11,185,NA,spring
